Date,Abertura,Maxima,Minima,Fechamento,Fechamento_Ajustado,Volume,Dividendos,Desdobramentos
2019-01-02,1.8991092099411246,1.955678202803331,1.88916268104859,1.9177579879760742,0.0,10409922,0.0,0.0
2019-01-03,1.9270830207980136,1.994220321314671,1.9270830207980136,1.9395155906677246,0.0,8736453,0.0,0.0
2019-01-04,1.946975405615395,1.9699762741426765,1.8754866123199465,1.8754866123199463,0.0,32322075,0.0,0.0
2019-01-07,1.8804597464845199,1.9364075647715457,1.8773519379325954,1.8953789472579956,0.0,11865331,0.0,0.0
2019-01-08,1.9171370781754544,1.9674897198557588,1.8872980803592883,1.9270830154418945,0.0,7437088,0.0,0.0
2019-01-09,1.9301912690413225,1.9687326625001982,1.9283265541992405,1.9587867259979248,0.0,11984364,0.0,0.0
2019-01-10,1.9594081129408842,1.989247111672631,1.928947937867242,1.9494621753692627,0.0,9884775,0.0,0.0
2019-01-11,1.9488402075278417,2.071925175247323,1.9488402075278417,2.052032709121704,0.0,15561369,0.0,0.0
2019-01-14,2.057627084488967,2.1353320778071296,2.0451945168313057,2.126007318496704,0.0,13941914,0.0,0.0
2019-01-15,2.135332677563695,2.135332677563695,2.0694389089293166,2.0775201320648193,0.0,5588569,0.0,0.0
2019-01-16,2.082493520843035,2.092439311496906,2.0134913459006953,2.020329475402832,0.0,14422049,0.0,0.0
2019-01-17,1.9985719547285992,2.0943045728171805,1.9985719547285992,2.0700600147247314,0.0,9901780,0.0,0.0
2019-01-18,2.0936826405830713,2.0974122187829094,2.0116261383545453,2.036491870880127,0.0,8165292,0.0,0.0
2019-01-21,2.0271678207629704,2.0626014204970557,2.0141134770998246,2.0451955795288086,0.0,4812351,0.0,0.0
2019-01-22,2.0451948362933328,2.0949255594482206,2.0371130211569164,2.0762767791748047,0.0,18772270,0.0,0.0
2019-01-23,2.0967903241461734,2.113574981689453,2.0750329948016915,2.113574981689453,0.0,9139566,0.0,0.0
2019-01-24,2.1309811493690978,2.2192538709048946,2.0998992030782944,2.214280605316162,0.0,14095957,0.0,0.0
2019-01-28,2.1937669224062764,2.2478492945525295,2.1757393167720753,2.237903356552124,0.0,9153570,0.0,0.0
2019-01-29,2.2534440619976817,2.280795833009066,2.2298214242854133,2.2689850330352783,0.0,5791626,0.0,0.0
2019-01-30,2.2696062428328836,2.292607110078896,2.2173887428989008,2.2453622817993164,0.0,8720448,0.0,0.0
2019-01-31,2.237903285611329,2.250335855969844,2.191280220191199,2.19500994682312,0.0,7175014,0.0,0.0
2019-02-01,2.1881718875246983,2.2584170019300767,2.1881718875246983,2.237903356552124,0.0,15414328,0.0,0.0
2019-02-04,2.237903060838196,2.237903060838196,2.1887933676772104,2.2192535400390625,0.0,9188579,0.0,0.0
2019-02-05,2.2248486539506036,2.2248486539506036,2.152738094909916,2.1844418048858643,0.0,9411642,0.0,0.0
2019-02-06,2.1689007339129547,2.1689007339129547,2.1086015701293945,2.1086015701293945,0.0,10709006,0.0,0.0
2019-02-07,2.108601655077089,2.1552247140946017,2.080628116170765,2.091195821762085,0.0,8306332,0.0,0.0
2019-02-08,2.095547331922624,2.1210342386766623,2.080006361557956,2.1117100715637207,0.0,4031131,0.0,0.0
2019-02-11,2.126007528097787,2.1396836355484807,2.08995291525869,2.116682767868042,0.0,3302927,0.0,0.0
